local_authority,pct_band_D_G,fuel_poverty_rate,median_gas_kwh,pct_not_mains_gas,median_epc_score,eb1_recent_pct_DG,households,fuel_poor_hh,code
Mole Valley,60.1,7.664196784112103,13027.92253248094,18.36,65,51.77588794397199,39678,3041,E07000210
Epsom and Ewell,59.91,7.5832213763248255,12812.03694285642,14.569999999999993,65,44.39799331103679,33495,2540,E07000208
Tandridge,59.03,7.509383448384472,12843.44754827142,14.939999999999998,66,58.77134248409776,38099,2861,E07000215
Spelthorne,58.44,7.526617160239778,11083.63556434242,19.150000000000006,66,37.691577376915774,44708,3365,E07000213
Guildford,58.4,8.289964691510903,11740.80185290092,16.480000000000004,66,43.54448742746615,59759,4954,E07000209
Waverley,57.65,7.86799764281505,12511.92138672183,15.519999999999996,66,54.656,55999,4406,E07000216
Surrey Heath,56.77,5.812836030232981,12965.10132163768,12.620000000000005,67,43.52815585801975,38501,2238,E07000214
Elmbridge,55.0,6.8450224910288595,13198.43724759774,13.650000000000006,67,45.01967907962458,59357,4063,E07000207
Runnymede,52.77,7.336796444063622,11524.74297875138,21.010000000000005,68,43.65434424299506,37346,2740,E07000212
Woking,50.43,6.853575533569223,11950.9874895985,26.700000000000003,68,44.21959527148868,44371,3041,E07000217
Reigate and Banstead,49.84,6.678429780456575,11830.33087833054,12.849999999999994,69,36.70619235836627,64042,4277,E07000211
